ID,sentence,reason for choice
ikmevl_0053,いつまい ぬーず。,長音に促音が続かない
ikmevl_0054,いつまい ぬーっず。,長音に促音が続く
ikmevl_0055,かまぬ かでぃ。,特殊な拗音
ikmevl_0056,かまぬ かどぅ。,特殊な拗音
ikmevl_0057,ばが あてぃ。,特殊な拗音
ikmevl_0058,ばが あとぅ。,特殊な拗音
ikmevl_0059,いっそぅ ふぁーす。,特殊な拗音
ikmevl_0060,いっそぅ ふぃー。,特殊な拗音
ikmevl_0061,かりゅー いっゔぁす。,特殊な拗音
ikmevl_0062,かりゃー いっゔぃ。,特殊な拗音
ikmevl_0063,いーまい にゃーん。,アクセントの違う同音異義語 いー (西・名詞・A)
ikmevl_0064,いーまい にゃーん。,アクセントの違う同音異義語 いー (千枚通し・名詞・B)
ikmevl_0065,いんまい にゃーん。,アクセントの違う同音異義語 いん (犬・名詞・B)
ikmevl_0066,いんまい にゃーん。,アクセントの違う同音異義語 いん (海・名詞・C)
ikmevl_0067,ゆいまい にゃーん。,アクセントの違う同音異義語 ゆい (助け合い・名詞・Ａ)
ikmevl_0068,ゆいまい にゃーん。,アクセントの違う同音異義語 ゆい (夕食・名詞・Ａ)
ikmevl_0069,いびゅーい はず。,複合動詞 (2語幹) + 2モーラ接語 1語幹目が高ピッチ
ikmevl_0070,いじゅーい はず。,"複合動詞 (2語幹) + 2モーラ接語 1, 2語幹目が高ピッチ"
ikmevl_0071,いびたい はず。,動詞語根 (2語幹) + 2モーラ接語 1語根目の1語幹目が高ピッチ
ikmevl_0072,いでぃたい はず。,動詞語根 (2語幹) + 2モーラ接語 1語根目の1語幹目と2語根目が高ピッチ
ikmevl_0073,いびらいたい はず。,"動詞語根 (3語幹) + 2モーラ接語 1語根目の1, 3語幹目が高ピッチ"
ikmevl_0074,いでぃらいたい はず。,動詞語根 (3語幹) + 2モーラ接語 1語根目の1語幹目と2語根目が高ピッチ
ikmevl_0075,いびっさはいたい はず。,"動詞語根 (4語幹) + 2モーラ接語 1語根目の1, 3語幹目が高ピッチ"
ikmevl_0076,いでぃっさはいたい はず。,"動詞語根 (4語幹) + 2モーラ接語 1語根目の1, 3語幹目と2語根目が高ピッチ"
ikmevl_0077,くりゃー むずぐるな？,句末音調　Yes/No疑問文　文末疑問標識あり
ikmevl_0078,くりゃー むずぐる？,句末音調　Yes/No疑問文　文末疑問標識なし
ikmevl_0079,いでぃがどぅ むずぐるが？,句末音調　WH疑問文　文末疑問標識あり
ikmevl_0080,いでぃがどぅ むずぐる？,句末音調　WH疑問文　文末疑問標識なし
ikmevl_0081,ばー でぃんな さんおく ありー。あっはーいー ほぅりむぬいゆぎゃー あすな。,音素バランス文
ikmevl_0082,っふぁー なさがりゅー わーゆどぅ あぴゃーてぃー あい。,音素バランス文
ikmevl_0083,っゔぁが あんぱっちゅぎゃー っゔぁが あんぱつ あっそぅ。,音素バランス文
ikmevl_0084,っぞぅー ふぃーっじゃ、いーばーどぅ っちゃー。,音素バランス文
ikmevl_0085,かにふっじゅ うんかっでぃー ひーはっじゃきー げんのーひー うなが うゆびゅー っつきーにゃーん。,音素バランス文
ikmevl_0086,かじゃんー ささいー っさ ん゜ーぱずん ないちゃ。,音素バランス文
ikmevl_0087,ひゃっき。,音素バランス文
ikmevl_0088,ゆび にっゔゅーきゃー くっゔぁ あがりー いちゃかいば んびゃーいっだん。,音素バランス文
ikmevl_0089,しーぐー んじゃん うっきゃーがてぃー ばっしーにゃーん。,音素バランス文
ikmevl_0090,いっせ。,音素バランス文
ikmevl_0091,んきゃーんな っざくぎー ひどぅ っざくーぎゃー ちゅふゅーたい。,音素バランス文
ikmevl_0092,びっぴーまちゃー んきゃーんな みーらいっだん。,音素バランス文
ikmevl_0093,っぞぅぬどぅ つーゆ っふゅー。,音素バランス文
ikmevl_0094,きゅーや あみゃー っふぃー どぅーや ぶがっりゅー。,音素バランス文
ikmevl_0095,えっげー ふそぅー ん゜みーにゃーん。,音素バランス文
ikmevl_0096,むずかす しつもんな ひー やらびゅーぎゃー ふたっとぅらすな。,音素バランス文
ikmevl_0097,ほぅっびとぅ。,音素バランス文
ikmevl_0098,っゔぁが わいてぃー みばかりゅーば、っゔぁが とぅっじゃ みゃーす はず。,音素バランス文
ikmevl_0099,きーゆ ゆったーゔぁす。,音素バランス文
ikmevl_0100,くるまぬどぅ んつやゔゃしゃんかい うちゃーりーにゃーん。,音素バランス文
